Connected as 123713644@ensignservices.net
Connected to... PCCA Package
Name                                       Copilot ID                           Component State Is Managed Solution ID                          Status Code State Code
Trend_Analyzer                             54c2cfbc-ee3b-420b-b061-612dd3cfa4b5 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
OT_Specialist                              c3d3c86e-fa34-4ff3-9536-4a282cc5e758 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SimpleLTC QM Coach V2                      ee5ef79d-073d-f111-88b5-000d3a5b0d6c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
PT_Specialist                              d85bea59-ae4c-4677-ada5-e9c03d40447d Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Report_Generator (Therapy Sync 2026-04-21) 9e264bfb-8247-4831-b8ec-b26c40ad795e Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Pacific Coast Compliance Analyzer          2c8431f9-2519-4e6e-920e-8353c9c97acf Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Coaching_Agent                             f65c703a-163d-4bc0-b0de-7ee3de59fbc5 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Regulatory_Validator                       ff14d6b9-e8df-4836-a9b0-555e5378916b Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Escalation_Router_03311601          4fccb2ca-0f4a-4499-8dba-1bff9314c14c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Report_Generator                           c190bff4-7f10-41c6-be49-eef495d57ded Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Synthesis_Orchestrator                     5cddcf7e-5add-453b-a62b-b15763e721b0 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
AgentTheraDoc Hardened                     09b002b6-ec3c-f111-88b5-000d3a5b0d6c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Documentation_Processor                    d58b9417-e5dd-40d1-96f9-f5cbad65d299 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Risk_Assessment_Agent                      f49bc1a2-74ad-497e-8ad2-b996662b670c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Escalation_Router                          fbf8f1f5-542d-f111-88b4-000d3a5b0d6c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Interdisciplinary_Coordin_03311601  c2d61348-6784-4582-803c-c50b0c42335c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Trend_Analyzer_03311601             27e4219d-4060-49cf-be62-11355eef02b7 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Prior_Auth_Validator                       b1c4cb94-3a53-4c65-9ed9-f3c5f146c472 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
Compliance_Auditor                         e197217f-dad3-47b8-80aa-d0b6fe25e64a Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SNF Rehab Agent                            60a37e9b-0e3d-f111-88b5-000d3a5b0d6c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SNF Command Center Agent                   76183e60-0e3d-f111-88b5-000d3a5b0d6c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
SNF Operations Assistant                   a5d65b19-4c3d-f111-88b5-000d3a5b0d6c Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned
BROKEN_Regulatory_Validator_20260331160134 38491c7f-0724-4ef2-adc4-005a00919f96 Published       False      fd140aae-4df4-11dd-bd17-0019b9312238 Active      Provisioned

