"DateKey","Date","YearNumber","MonthNumber","MonthName","QuarterNumber","DayOfMonth","DayOfWeekName","IsWeekend"
"20260225","2026-02-25","2026","2","February","1","25","Wednesday","False"
"20260226","2026-02-26","2026","2","February","1","26","Thursday","False"
"20260228","2026-02-28","2026","2","February","1","28","Saturday","True"
"20260301","2026-03-01","2026","3","March","1","1","Sunday","True"
"20260302","2026-03-02","2026","3","March","1","2","Monday","False"
"20260303","2026-03-03","2026","3","March","1","3","Tuesday","False"
"20260308","2026-03-08","2026","3","March","1","8","Sunday","True"
"20260309","2026-03-09","2026","3","March","1","9","Monday","False"
"20260310","2026-03-10","2026","3","March","1","10","Tuesday","False"
"20260311","2026-03-11","2026","3","March","1","11","Wednesday","False"
"20260313","2026-03-13","2026","3","March","1","13","Friday","False"
"20260314","2026-03-14","2026","3","March","1","14","Saturday","True"
"20260317","2026-03-17","2026","3","March","1","17","Tuesday","False"
"20260319","2026-03-19","2026","3","March","1","19","Thursday","False"
"20260320","2026-03-20","2026","3","March","1","20","Friday","False"
"20260321","2026-03-21","2026","3","March","1","21","Saturday","True"
"20260323","2026-03-23","2026","3","March","1","23","Monday","False"
"20260324","2026-03-24","2026","3","March","1","24","Tuesday","False"
"20260325","2026-03-25","2026","3","March","1","25","Wednesday","False"
"20260326","2026-03-26","2026","3","March","1","26","Thursday","False"
"20260327","2026-03-27","2026","3","March","1","27","Friday","False"
"20260328","2026-03-28","2026","3","March","1","28","Saturday","True"
"20260329","2026-03-29","2026","3","March","1","29","Sunday","True"
"20260330","2026-03-30","2026","3","March","1","30","Monday","False"
"20260331","2026-03-31","2026","3","March","1","31","Tuesday","False"
"20260401","2026-04-01","2026","4","April","2","1","Wednesday","False"
"20260402","2026-04-02","2026","4","April","2","2","Thursday","False"
"20260404","2026-04-04","2026","4","April","2","4","Saturday","True"
"20260405","2026-04-05","2026","4","April","2","5","Sunday","True"
"20260406","2026-04-06","2026","4","April","2","6","Monday","False"
"20260407","2026-04-07","2026","4","April","2","7","Tuesday","False"
"20260408","2026-04-08","2026","4","April","2","8","Wednesday","False"
"20260409","2026-04-09","2026","4","April","2","9","Thursday","False"
"20260410","2026-04-10","2026","4","April","2","10","Friday","False"
"20260411","2026-04-11","2026","4","April","2","11","Saturday","True"
"20260412","2026-04-12","2026","4","April","2","12","Sunday","True"
